,Player,GP,REC,YDS,YDS/G,AVG,LNG,TD,Team,REC/GP
51,Rashid Shaheed,15,46,719,47.9,15.6,58,5,NO,3.066666666666667
52,Diontae Johnson,13,51,717,55.2,14.1,71,5,CAR,3.923076923076923
53,Tank Dell,11,47,709,64.5,15.1,68,7,HOU,4.2727272727272725
54,Romeo Doubs,17,59,674,39.6,11.4,36,8,GB,3.4705882352941178
55,Dalton Kincaid,16,73,673,42.1,9.2,51,2,BUF,4.5625
56,Tyler Boyd,17,67,667,39.2,10.0,64,2,TEN,3.9411764705882355
57,Kyle Pitts,17,53,667,39.2,12.6,39,3,ATL,3.1176470588235294
58,Brandin Cooks,16,54,657,41.1,12.2,37,8,DAL,3.375
59,Tee Higgins,12,42,656,54.7,15.6,80,5,CIN,3.5
60,Elijah Moore,17,59,640,37.6,10.9,42,2,CLE,3.4705882352941178
61,Dalton Schultz,15,59,635,42.3,10.8,31,5,HOU,3.933333333333333
62,Jaxon Smith-Njigba,17,63,628,36.9,10.0,35,4,SEA,3.7058823529411766
63,Tyler Conklin,17,61,621,36.5,10.2,37,0,NYJ,3.588235294117647
64,Curtis Samuel,16,62,613,38.3,9.9,37,4,BUF,3.875
65,Khalil Shakir,17,39,611,35.9,15.7,81,2,BUF,2.2941176470588234
66,Josh Reynolds,17,40,608,35.8,15.2,33,5,DEN,2.3529411764705883
67,Dallas Goedert,14,59,592,42.3,10.0,49,3,PHI,4.214285714285714
68,Breece Hall,17,76,591,34.8,7.8,50,4,NYJ,4.470588235294118
69,Jonnu Smith,17,50,582,34.2,11.6,60,3,MIA,2.9411764705882355
70,Josh Palmer,10,38,581,58.1,15.3,79,2,LAC,3.8
71,Dontayvion Wicks,15,39,581,38.7,14.9,35,4,GB,2.6
72,Marquise Brown,14,51,574,41.0,11.3,41,4,KC,3.642857142857143
73,Noah Brown,10,33,567,56.7,17.2,75,2,HOU,3.3
74,Odell Beckham Jr.,14,35,565,40.4,16.1,51,3,MIA,2.5
75,Michael Wilson,13,38,565,43.5,14.9,69,3,ARI,2.923076923076923
76,Christian McCaffrey,16,67,564,35.3,8.4,41,7,SF,4.1875
77,Demario Douglas,14,49,561,40.1,11.5,42,0,NE,3.5
78,Darren Waller,12,52,552,46.0,10.6,29,1,NYG,4.333333333333333
79,Rachaad White,17,64,549,32.3,8.6,43,3,TB,3.764705882352941
80,Mark Andrews,10,45,544,54.4,12.1,38,6,BAL,4.5
81,K.J. Osborn,16,48,540,33.8,11.3,47,3,NE,3.0
82,Chigoziem Okonkwo,17,54,528,31.1,9.8,39,1,TEN,3.176470588235294
83,DJ Chark,15,35,525,35.0,15.0,47,5,LAC,2.3333333333333335
84,Wan'Dale Robinson,15,60,525,35.0,8.8,33,1,NYG,4.0
85,Jahan Dotson,17,49,518,30.5,10.6,33,4,WAS,2.8823529411764706
86,Alec Pierce,17,32,514,30.2,16.1,58,2,IND,1.8823529411764706
87,Logan Thomas,16,55,496,31.0,9.0,29,4,SF,3.4375
88,Tyler Higbee,15,47,495,33.0,10.5,33,2,LAR,3.1333333333333333
89,Kalif Raymond,17,35,489,28.8,14.0,41,1,DET,2.0588235294117645
90,Bijan Robinson,17,58,487,28.6,8.4,71,4,ATL,3.411764705882353
91,Tutu Atwell,16,39,483,30.2,12.4,44,3,LAR,2.4375
92,Travis Etienne,17,58,476,28.0,8.2,56,1,JAC,3.411764705882353
93,Alvin Kamara,13,75,466,35.8,6.2,25,1,NO,5.769230769230769
94,Justin Watson,16,27,460,28.8,17.0,41,3,KC,1.6875
95,Cade Otton,17,47,455,26.8,9.7,27,4,TB,2.764705882352941
96,Samaje Perine,17,50,455,26.8,9.1,29,0,DEN,2.9411764705882355
97,Michael Thomas,10,39,448,44.8,11.5,31,1,NO,3.9
98,James Cook,17,44,445,26.2,10.1,48,4,BUF,2.588235294117647
99,Austin Ekeler,14,51,436,31.1,8.6,39,1,WAS,3.642857142857143
