Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,player_id
Will Fuller,15,WR,6-0,183,26,Notre Dame,11,10,13,729
Zach Fulton,73,ROG,6-5,317,29,Tennessee,16,16,13,730
Phillip Gaines,29,LCB,6-0,193,29,Rice,12,2,13,731
Cullen Gillaspia,44,FB,6-2,235,25,Texas A&M,8,0,13,732
Jonathan Greenard,52,SLB,6-3,263,23,Louisville; Florida,13,1,13,733
Nate Hall,48,LILB,6-2,231,24,Northwestern,10,0,13,734
P.J. Hall,96,DT-RDE-NT,6-1,308,25,Sam Houston State,10,9,13,735
Chad Hansen,17,WR,6-2,202,25,Idaho State; California,5,2,13,736
Vernon Hargreaves,26,RCB,5-10,204,25,Florida,16,16,13,737
Charlie Heck,67,ROT,6-8,315,24,North Carolina,3,1,13,738
Dontrell Hilliard,22,RB,5-11,202,25,Tulane,2,0,13,739
Tytus Howard,71,ROT,6-6,311,24,Alabama State,14,14,13,740
Buddy Howell,38,RB,6-1,218,24,Florida Atlantic,15,0,13,741
David Johnson,31,RB,6-1,224,29,Northern Iowa,12,12,13,742
Duke Johnson,25,RB,5-9,210,27,Miami (Florida),11,4,13,743
Lonnie Johnson,32,FS-SS-RCB,6-3,206,23,Garden City CC; Kentucky,16,5,13,744
Roderick Johnson,63,LOT-ROT,6-6,306,25,Florida State,12,2,13,745
Peter Kalambayi,58,RILB-LILB,6-3,254,25,Stanford,10,0,13,746
Senio Kelemete,64,LOG-ROG,6-3,300,30,Washington,14,5,13,747
Corey Liuget,93,NT-LDE,6-2,300,30,Illinois,6,1,13,748
Greg Mancz,65,C-OG,6-4,303,28,Toledo,4,0,13,749
Jake Martin,54,SLB-W,6-3,242,25,Temple,14,1,13,750
Nick Martin,66,C,6-4,295,27,Notre Dame,16,16,13,751
A.J. McCarron,2,QB,6-3,215,30,Alabama,2,0,13,752
Benardrick McKinney,55,LILB-RILB,6-4,253,28,Mississippi State,4,4,13,753
Whitney Mercilus,59,WLB,6-4,258,30,Illinois,13,12,13,754
Steven Mitchell,11,WR,5-10,186,26,Southern California,6,1,13,755
A.J. Moore,33,SS,5-11,200,25,Mississippi,11,5,13,756
Eric Murray,23,SS,5-11,199,26,Minnesota,14,14,13,757
Charles Omenihu,94,RDE-SLB,6-6,275,23,Texas,15,5,13,758
Jonathan Owens,36,FS,5-11,210,25,Missouri Western State,6,0,13,759
Scottie Phillips,40,RB,5-8,211,23,Jones County JC; Mississippi,8,0,13,760
C.J. Prosise,24,RB,6-1,223,26,Notre Dame,10,0,13,761
Brent Qvale,76,LOG-ROG-ROT,6-7,315,29,Nebraska,14,3,13,762
John Reid,34,LCB-RCB,5-10,181,24,Penn State,13,1,13,763
Justin Reid,20,FS,6-1,203,23,Stanford,13,13,13,764
Bradley Roby,21,LCB,5-11,194,28,Ohio State,10,10,13,765
Brennan Scarlett,57,SLB,6-4,261,27,California; Stanford,8,3,13,766
Max Scharping,74,LOG,6-6,320,24,Northern Illinois,16,8,13,767
Kenny Stills,12,WR,6-1,196,28,Oklahoma,10,0,13,768
Michael Thomas,28,FS,5-11,196,30,Stanford,9,0,13,769
Laremy Tunsil,78,LOT,6-5,317,26,Mississippi,14,14,13,770
Kahale Warring,81,TE,6-6,250,23,San Diego State,7,0,13,771
Carlos Watkins,91,RDE-NT,6-3,301,27,Clemson,16,11,13,772
Deshaun Watson,4,QB,6-2,215,25,Clemson,16,16,13,773
J.J. Watt,99,LDE,6-5,289,31,Central Michigan; Wisconsin,16,15,13,774
Jon Weeks,46,LONG,5-10,248,34,Baylor,16,0,13,775
Dakota Allen,53,WLB,6-1,235,25,Texas Tech; East Mississippi CC; Texas Tech,13,2,15,776
Josh Allen,41,LDE,6-5,260,23,Kentucky,8,7,15,777
Luq Barcoo,36,RCB-LCB,6-1,175,22,Grossmont JC; San Diego State,3,1,15,778
Ben Bartch,78,LOG-ROG,6-6,305,22,St. John's (Minnesota),13,1,15,779
Jon Brown,1,K,5-10,201,28,Kentucky; Louisville,1,0,15,780
Taven Bryan,90,DT,6-5,291,24,Florida,16,8,15,781
A.J. Cann,60,ROG,6-3,315,29,South Carolina,15,15,15,782
K'Lavon Chaisson,45,LDE,6-4,250,21,Louisiana State,16,3,15,783
D.J. Chark,17,WR,6-4,198,24,Louisiana State,13,12,15,784
Chris Claybrooks,27,CBRCB-LCB,6-0,170,22,Fort Scott CC; Coahoma CC; Memphis,13,4,15,785
Keelan Cole,84,WR,6-1,194,27,Kentucky Wesleyan,16,5,15,786
Dustin Colquitt,1,P,6-3,210,38,Tennessee,1,0,15,787
Chris Conley,18,WR,6-3,205,28,Georgia,15,4,15,788
Logan Cooke,9,P,6-5,230,25,Mississippi State,14,0,15,789
Kamalei Correa,55,SLB,6-3,244,26,Boise State,6,6,15,790
Doug Costin,58,DT-NT,6-2,295,23,Miami (Ohio),13,9,15,791
Nathan Cottrell,31,RB,5-11,193,24,Georgia Tech,8,0,15,792
Tyler Davis,87,TE,6-4,250,23,Connecticut; Georgia Tech,8,0,15,793
Tyler Eifert,88,TE,6-6,252,30,Notre Dame,16,4,15,794
Daniel Ekuale,99,DT-NT,6-3,300,26,Washington State,9,5,15,795
Ben Ellefson,86,TE,6-3,250,24,North Dakota State,7,4,15,796
Joe Giles-Harris,43,SLB-MLB,6-2,240,23,Duke,9,3,15,797
Mike Glennon,2,QB,6-6,225,31,North Carolina State,5,5,15,798
Terry Godwin,14,WR,5-11,185,24,Georgia,3,0,15,799
Adam Gotsis,96,RDE,6-4,287,28,Georgia Tech,16,14,15,800
DaVon Hamilton,52,NT,6-4,310,23,Ohio State,11,6,15,801
Stephen Hauschka,3,K,6-4,210,35,Middlebury; North Carolina State,1,0,15,802
D.J. Hayden,25,LCB,5-11,190,30,Navarro JC; Houston,4,1,15,803
C.J. Henderson,23,LCB,6-1,202,22,Florida,8,8,15,804
Tre Herndon,37,LCB-RCB,5-11,185,24,Vanderbilt,16,12,15,805
Myles Jack,44,WLB,6-1,245,25,UCLA,14,14,15,806
Leon Jacobs,48,SLB,6-2,245,25,Wisconsin,3,2,15,807
Timmy Jernigan,98,DT,6-2,297,28,Florida State,3,0,15,808
Collin Johnson,19,WR,6-6,220,23,Texas,14,0,15,809
Abry Jones,95,NT,6-4,316,29,Georgia,5,5,15,810
Josh Jones,29,SS,6-2,220,26,North Carolina State,13,13,15,811
Sidney Jones,22/35,RCB,6-0,181,24,Washington,9,6,15,812
Josh Lambo,4,K,6-0,215,30,Collin County JC; Texas A&M,4,0,15,813
Brandon Linder,65,C,6-6,318,28,Miami (Florida),9,9,15,814
Jake Luton,6,QB,6-7,229,24,Idaho; Ventura CC; Oregon State,3,3,15,815
Aaron Lynch,59,LDE-SLB,6-6,270,27,Notre Dame; South Florida,8,0,15,816
Greg Mabin,34,RCB,6-2,200,26,Iowa,5,4,15,817
Cassius Marsh,54,SLB,6-4,248,28,UCLA,4,1,15,818
Ross Matiscik,46,LONG,6-0,235,24,Baylor,16,0,15,819
Kc McDermott,62,C-LOG,6-5,311,24,Miami (Florida),7,0,15,820
Chase McLaughlin,3,K,6-1,175,24,Illinois,3,0,15,821
Quenton Meeks,5,RCB,6-2,197,24,Stanford,4,0,15,822
Doug Middleton,39,SS-FS,6-0,210,27,Appalachian State,10,0,15,823
Bruce Miller,49,FB,6-2,248,33,Central Florida,8,5,15,824
Gardner Minshew,15,QB,6-2,220,24,Northwest Mississippi CC; East Carolina; Washington State,9,8,15,825
Andrew Norwell,58,LOG,6-6,325,29,Ohio State,13,13,15,826
Josh Nurse,38,CB,6-3,200,24,Georgia Military JC; Blinn JC; Utah,2,0,15,827
Dare Ogunbowale,33,RB,5-11,205,26,Wisconsin,14,2,15,828
James O'Shaughnessy,80,TE,6-4,245,28,Illinois State,15,13,15,829
Devine Ozigbo,22,RB,6-2,225,24,Nebraska,8,0,15,830
Shaquille Quarterman,50,MLB,6-1,241,23,Miami (Florida),12,0,15,831
Trey Quinn,16,WR,6-0,202,25,Louisiana State; Southern Methodist,1,0,15,832
Caraun Reid,92,RDE-NT,6-2,300,28,Princeton,7,0,15,833
Craig Reynolds,48,RB,5-11,215,24,Kutztown,3,0,15,834
Will Richardson,76,LOT-ROT-TE,6-6,306,24,North Carolina State,16,1,15,835
Cam Robinson,74,LOT,6-6,320,25,Alabama,16,16,15,836
James Robinson,30,RB,5-10,220,22,Illinois State,14,14,15,837
Aldrick Rosas,7,K,6-3,227,26,Southern Oregon,6,0,15,838
Daniel Ross,93,DT,6-5,305,27,Northeast Mississippi CC,2,0,15,839
Brandon Rusnak,40,FS,5-11,204,25,Michigan,16,1,15,840
Eric Saubert,85,TE,6-5,253,26,Drake,7,4,15,841
Joe Schobert,47,MLB,6-1,245,27,Wisconsin,16,16,15,842
Josiah Scott,24,RCB-LCB,5-10,171,21,Michigan State,6,0,15,843
Tyler Shatley,69,C-LOG-ROG,6-3,308,29,Clemson,16,10,15,844
Jabaal Sheard,98,DE,6-3,260,31,Pittsburgh,1,0,15,845
Laviska Shenault,10,WR,6-2,220,22,Colorado,14,13,15,846
Dawuane Smoot,94,LDE-RDE,6-3,264,25,Illinois,16,7,15,847
Jawaan Taylor,75,ROT,6-5,328,23,Florida,16,16,15,848
Daniel Thomas,20,SS,5-11,209,22,Auburn,10,2,15,849
Chris Thompson,34,RB,5-8,193,30,Florida State,8,0,15,850
Tre'Vour Wallace-Simms,77,OG,6-5,330,23,Missouri,4,0,15,851
Dede Westbrook,12,WR,6-0,177,27,Blinn JC; Oklahoma,2,0,15,852
Quincy Williams,56,WLB,5-10,239,24,Murray State,7,0,15,853
Jarrod Wilson,26,FS,6-2,210,26,Michigan,12,12,15,854
Andrew Wingard,42,FS-SS,6-0,209,24,Wyoming,13,4,15,855
Brandon Wright,1,K,5-10,182,23,Georgia State,1,0,15,856
Nick Allegretti,73,LOG,6-4,320,24,Illinois,16,9,16,857
Deandre Baker,30,LCB,5-11,185,23,Georgia,2,1,16,858
Le'Veon Bell,26,RB,6-1,225,28,Michigan State,9,2,16,859
Bashaud Breeland,21,RCB,5-11,197,28,Clemson,11,11,16,860
Harrison Butker,7,K,6-4,205,25,Georgia Tech,16,0,16,861
Taco Charlton,84,RDE,6-6,273,26,Michigan,7,0,16,862
Frank Clark,55,RDE,6-3,264,27,Michigan,15,15,16,863
Omari Cobb,59,LB,6-4,223,23,Marshall,1,0,16,864
Mike Danna,51,LDE,6-2,261,23,Central Michigan; Michigan,13,1,16,865
Gehrig Dieter,12,WR,6-3,207,27,Southern Methodist; Bowling Green State; Alabama,4,0,16,866
Yasir Durant,79,ROG-LOG,6-7,330,22,Arizona Western JC; Missouri,11,1,16,867
Clyde Edwards-Helaire,25,RB,5-8,209,21,Louisiana State,13,13,16,868
Rashad Fenton,27,CB,5-11,188,23,South Carolina,16,3,16,869
Eric Fisher,72,LOT,6-7,315,29,Central Michigan,15,15,16,870
Willie Gay,50,WLB-MLB,6-2,240,22,Mississippi State,16,8,16,871
Antonio Hamilton,20,NB,6-0,189,27,South Carolina State,16,0,16,872
Mecole Hardman,17,WR,5-11,183,22,Georgia,16,8,16,873
Darius Harris,47,WLB,6-2,238,24,Middle Tennessee State,4,2,16,874
Demone Harris,52,RDE,6-4,272,25,Buffalo,1,0,16,875
Chad Henne,4,QB,6-3,228,35,Michigan,3,1,16,876
Tyreek Hill,10,WR,5-10,185,26,Garden City CC; Oklahoma State; West Alabama,15,15,16,877
Anthony Hitchens,53,MLB,6-0,235,28,Iowa,14,14,16,878
Braxton Hoyett,96,DT,6-3,310,24,Mississippi State,1,0,16,879
Danny Isidora,65,OG,6-3,306,26,Miami (Florida),1,0,16,880
Chris Jones,95,LDT,6-5,309,26,Mississippi State,16,15,16,881
Nick Keizer,48,TE,6-4,251,25,Grand Valley State,16,3,16,882
Travis Kelce,87,TE,6-5,260,31,Cincinnati,16,16,16,883
Marcus Kemp,19,WR,6-4,205,25,Hawaii,10,0,16,884
BoPete Keyes,29,RCB-LCB,6-1,200,23,Tulane,8,1,16,885
Daniel Kilgore,67,C,6-3,305,33,Appalachian State,7,4,16,886
Tanoh Kpassagnon,92,LDE,6-7,285,26,Villanova,16,15,16,887
Chris Lammons,45,NB,5-10,190,24,South Carolina,3,0,16,888
Patrick Mahomes,15,QB,6-3,230,25,Texas Tech,15,15,16,889
Tyrann Mathieu,32,SS,5-9,187,28,Louisiana State,15,15,16,890
Ben Niemann,56,SLB-WLB,6-2,235,25,Iowa,15,5,16,891
Derrick Nnadi,91,RDT,6-1,312,24,Florida State,15,15,16,892
Dorian O'Daniel,44,SLB,6-1,220,26,Clemson,11,0,16,893
Alex Okafor,57,LDE,6-4,261,29,Texas,11,0,16,894
Patrick Omameh,60,ROT,6-4,312,31,Michigan,1,1,16,895
Kelechi Osemele,70,LOG,6-5,330,31,Iowa State,5,5,16,896
Mike Pennel,64,LDT-RDT,6-4,332,29,Scottsdale CC; Arizona State; Colorado State-Pueblo,14,1,16,897
Byron Pringle,13,WR,6-2,205,27,Butler CC; Kansas State,13,3,16,898
Martinas Rankin,74,LOT,6-5,311,26,Mississippi Gulf Coast CC; Mississippi State,1,1,16,899
Austin Reiter,62,C,6-2,300,29,South Florida,15,12,16,900
Mike Remmers,75,ROT-ROG-LOT,6-5,308,31,Oregon State,13,10,16,901
Demarcus Robinson,11,WR,6-1,203,26,Florida,16,9,16,902
Khalen Saunders,99,LDT-RDT,6-2,310,24,Western Illinois,3,1,16,903
Mitchell Schwartz,71,ROT,6-5,320,31,California,6,6,16,904
Ricky Seals-Jones,83,TE,6-5,243,25,Texas A&M,2,0,16,905
Anthony Sherman,42,FB,5-10,242,32,Connecticut,13,1,16,906
Emmanuel Smith,43,LB,6-2,240,25,Vanderbilt,1,0,16,907
L'Jarius Sneed,38,RCB-LCB,6-1,193,23,Louisiana Tech,9,6,16,908
Daniel Sorensen,39,FS,6-2,208,30,Brigham Young,15,11,16,909
Darwin Thompson,34,RB,5-8,200,23,Northeastern Oklahoma A&M JC; Utah State,14,1,16,910
Tedric Thompson,24,SS,6-0,204,25,Colorado,8,0,16,911
Juan Thornhill,22,FS,6-0,210,25,Virginia,16,8,16,912
Tommy Townsend,5,P,6-2,176,24,Tennessee; Florida,16,0,16,913
Charvarius Ward,35,LCB,6-1,198,24,Hinds CC; Middle Tennessee State,14,13,16,914
Tim Ward,90,RDE,6-6,255,23,Old Dominion,1,1,16,915
DeAndre Washington,30,RB,5-8,205,27,Texas Tech,1,0,16,916
Sammy Watkins,14,WR,6-1,211,27,Clemson,10,9,16,917
Armani Watts,23,SS-FS,5-11,205,24,Texas A&M,16,1,16,918
Tershawn Wharton,87,RDT-LDT,6-4,255,22,Missouri S&T,16,1,16,919
Darrel Williams,31,RB,5-11,224,25,Louisiana State,16,0,16,920
Damien Wilson,54,SLB,6-1,244,27,Alcorn State; Jones County JC; Minnesota,13,13,16,921
James Winchester,41,LONG,6-3,240,31,Oklahoma,16,0,16,922
Stefen Wisniewski,61,LOG-ROG,6-3,305,31,Penn State,4,2,16,923
Bryan Witzmann,68,OG,6-7,318,30,South Dakota State,1,0,16,924
Andrew Wylie,77,ROG-ROT,6-6,309,26,Eastern Michigan,14,14,16,925
Deon Yelder,82,TE,6-4,255,25,Western Kentucky,14,1,16,926
Johnathan Abram,24,SS,6-0,215,24,Georgia; Jones County JC; Mississippi State,13,13,17,927
Nelson Agholor,15,WR,6-0,198,27,Southern California,16,13,17,928
Damon Arnette,20,RCB-LCB,6-0,195,24,Ohio State,8,7,17,929
Vic Beasley,51,LDE-RDE,6-3,241,28,Clemson,5,0,17,930
Devontae Booker,32,RB,5-11,219,28,American River JC; Utah,16,1,17,931
Trent Brown,77,ROT,6-8,355,27,Georgia Military JC; Florida,5,5,17,932
Daniel Carlson,2,K,6-5,213,25,Auburn,16,0,17,933
Derek Carr,4,QB,6-3,215,29,Fresno State,16,16,17,934
Derek Carrier,85,TE,6-4,244,30,Beloit,16,0,17,935
A.J. Cole,6,P,6-4,220,25,North Carolina State,16,0,17,936
Maliek Collins,97,RDT,6-2,307,25,Nebraska,12,11,17,937
Maxx Crosby,98,RDE,6-5,247,23,Eastern Michigan,16,16,17,938
Keelan Doss,18,WR,6-3,211,24,UC Davis,1,0,17,939
Bryan Edwards,89,WR,6-3,215,22,South Carolina,12,3,17,940
Kyle Emanuel,52,LB,6-3,250,29,North Dakota State,1,0,17,941
Clelin Ferrell,96,LDE,6-4,265,23,Clemson,11,11,17,942
Rico Gafford,10,WR,5-10,184,24,Iowa Western CC; Wyoming,3,0,17,943
Rashaan Gaulden,33,CB,6-1,200,25,Tennessee,2,0,17,944
Denzelle Good,71,LOG-ROT-ROG,6-5,345,29,North Carolina State; Mars Hill,15,14,17,945
Johnathan Hankins,90,LDT,6-2,322,28,Ohio State,16,16,17,946
Erik Harris,25,FS,6-3,225,30,California (Pennsylvania),14,12,17,947
Jeff Heath,38,FS-SS,6-1,212,29,Saginaw Valley State,13,5,17,948
Rodney Hudson,61,C,6-2,300,31,Florida State,16,16,17,949
Maurice Hurst,73,RDT,6-1,291,25,Michigan,11,3,17,950
Richie Incognito,64,LOG,6-3,321,37,Nebraska; Oregon,2,2,17,951
Alec Ingold,45,FB,6-1,240,24,Wisconsin,16,4,17,952
David Irving,79,DE,6-7,272,27,Iowa State,2,0,17,953
Gabe Jackson,66,ROG,6-3,335,29,Mississippi State,16,16,17,954
Josh Jacobs,28,RB,5-10,216,22,Alabama,15,15,17,955
Andre James,68,C,6-4,300,23,UCLA,16,0,17,956
Isaiah Johnson,31,LCB,6-4,303,25,Houston,14,0,17,957
Datone Jones,95,RDE,6-4,285,30,UCLA,1,0,17,958
Zay Jones,12,WR,6-2,200,25,East Carolina,16,2,17,959
Jaryd Jones-Smith,72,OT,6-6,322,25,Pittsburgh,3,0,17,960
Lamarcus Joyner,29,NB-SS-FS-RCB,5-8,183,30,Florida State,14,6,17,961
Arden Key,99,LDE,6-6,265,24,Louisiana State,14,0,17,962
Nick Kwiatkoski,44,MLB,6-2,240,27,West Virginia,12,12,17,963
Nevin Lawson,26,RCB-LCB,5-9,192,29,Utah State,14,9,17,964
Dallin Leavitt,32,FS,5-10,203,26,Brigham Young; Utah State,11,0,17,965
Cory Littleton,42,WLB,6-3,227,27,Washington,14,14,17,966
Dylan Mabin,37,CB,6-1,195,23,Fordham,1,0,17,967
Erik Magnuson,62,OT,6-6,305,26,Michigan,1,0,17,968
Marcus Mariota,8,QB,6-4,222,27,Oregon,1,0,17,969
Raekwon McMillan,54,MLB-SLB,6-2,248,24,Ohio State,16,4,17,970
Kolton Miller,74,LOT,6-8,309,25,UCLA,14,14,17,971
Foster Moreau,87,TE,6-6,256,23,Louisiana State,16,2,17,972
Nicholas Morrow,50,SLB-WLB,6-0,224,25,Greenville,14,11,17,973
Trayvon Mullen,27,LCB-RCB,6-1,195,23,Clemson,16,16,17,974
Carl Nassib,94,LDE-RDE,6-7,275,27,Penn State,14,5,17,975
Keisean Nixon,22,RCB,5-10,200,23,Arizona Western JC; South Carolina,15,1,17,976
Patrick Omameh,78,ROG,6-4,312,31,Michigan,6,0,17,977
James Onwualu,59,LB,6-1,235,26,Notre Dame,2,0,17,978
Brandon Parker,75,LOT-ROT,6-8,305,25,North Carolina A&T State,11,4,17,979
Nathan Peterman,3,QB,6-2,225,26,Tennessee; Pittsburgh,1,0,17,980
Hunter Renfrow,13,WR,5-10,183,25,Clemson,16,6,17,981
Jalen Richard,30,RB,5-8,205,27,Southern Mississippi,15,0,17,982
Theo Riddick,35,RB,5-9,201,29,Notre Dame,4,0,17,983
Amik Robertson,21,NB,5-9,183,22,Louisiana Tech,8,0,17,984
Daniel Ross,93,LDT,6-5,305,27,Northeast Mississippi CC,3,0,17,985
Henry Ruggs,11,WR,6-0,190,21,Alabama,13,12,17,986
Trent Sieg,47,LONG,6-3,240,25,Colorado State,16,0,17,987
John Simpson,76,LOG,6-4,320,23,Clemson,7,2,17,988
Chris Smith,92,LDE,6-1,266,28,Arkansas,8,0,17,989
Kendal Vickers,91,RDT-RDE,6-3,295,25,Tennessee,15,2,17,990
Darren Waller,83,TE,6-6,252,28,Georgia Tech,16,15,17,991
Javin White,53,LB,6-3,205,23,Nevada-Las Vegas,3,0,17,992
Kyle Wilber,58,SLB,6-4,245,31,Wake Forest,16,0,17,993
Jason Witten,82,TE,6-5,262,38,Tennessee,16,7,17,994
Daryl Worley,36,CB,6-1,205,25,West Virginia,2,1,17,995
Sam Young,70,ROT,6-8,314,33,Notre Dame,11,7,17,996
Jahleel Addae,36,SS,5-10,195,30,Central Michigan,11,0,18,997
Nasir Adderley,24,FS,6-0,200,23,Delaware,15,14,18,998
Keenan Allen,13,WR,6-2,211,28,California,14,13,18,999
Stephen Anderson,82,TE,6-3,232,27,California,16,3,18,1000
Mike Badgley,4,K,5-10,183,25,Miami (Florida),16,0,18,1001
Kalen Ballage,31,RB,6-3,230,25,Arizona State,8,2,18,1002
B.J. Bello,58,WLB,6-2,229,26,Illinois; Illinois State,6,0,18,1003
Asmar Bilal,57,WLB,6-2,227,23,Notre Dame,2,0,18,1004
Joey Bosa,97,LDE-RDE,6-5,280,25,Ohio State,12,11,18,1005
Darius Bradwell,34,RB,6-0,235,23,Tulane,2,0,18,1006
John Brannon,38,CB,6-2,195,22,Western Carolina,1,0,18,1007
Cortez Broughton,91,DT,6-2,290,24,Cincinnati,9,0,18,1008
Bryan Bulaga,75,ROT,6-5,314,31,Iowa,10,10,18,1009
Tevaughn Campbell,37,RCB-LCB,6-0,185,27,Regina,14,4,18,1010
Cole Christiansen,50,LB,6-2,225,23,Army,4,0,18,1011
Michael Davis,43,LCB-RCB,6-2,195,25,Brigham Young,16,14,18,1012
Emeke Egbule,51,SLB,6-4,240,24,Houston,14,0,18,1013
Austin Ekeler,30,RB,5-10,200,25,Western Colorado,10,10,18,1014
Brandon Facyson,28,LCB,6-2,197,26,Virginia Tech,13,0,18,1015
Dan Feeney,66,C,6-4,310,26,Indiana,16,16,18,1016
Breiden Fehoko,96,NT,6-2,291,24,Texas Tech; Louisiana State,2,0,18,1017
Joe Gaziano,92,DE,6-4,275,24,Northwestern,2,0,18,1018
Alohi Gilman,32,SS-FS,5-10,202,23,Navy; Notre Dame,15,1,18,1019
Virgil Green,88,TE,6-5,255,32,Nevada-Reno,6,3,18,1020
Ryan Groy,72,ROG-LOG,6-5,320,30,Wisconsin,4,3,18,1021
Jalen Guyton,15,WR,6-1,202,23,Trinity Valley CC; North Texas,16,9,18,1022
Chris Harris,25,LCB-RCB,5-10,199,31,Kansas,9,9,18,1023
Casey Hayward,27,RCB-LCB,5-11,192,31,Vanderbilt,14,13,18,1024
Hunter Henry,86,TE,6-5,250,26,Arkansas,14,14,18,1025
Justin Herbert,10,QB,6-6,237,22,Oregon,15,15,18,1026
K.J. Hill,84,WR,6-0,195,23,Ohio State,15,0,18,1027
Melvin Ingram,54,RDE-LDE,6-2,247,31,South Carolina,7,7,18,1028
Justin Jackson,22,RB,6-0,199,24,Northwestern,9,4,18,1029
Malik Jefferson,46,WLB-MLB,6-2,241,24,Texas,13,0,18,1030
Rayshawn Jenkins,23,SS,6-2,220,26,Miami (Florida),15,15,18,1031
Tyron Johnson,83,WR,6-1,193,24,Louisiana State; Oklahoma State,12,0,18,1032
Justin Jones,93,DT,6-3,209,24,North Carolina State,13,12,18,1033
Linval Joseph,95,NT,6-4,329,32,East Carolina,16,16,18,1034
Joshua Kelley,27,RB,5-11,219,23,UC Davis; UCLA,15,0,18,1035
Desmond King,20,FS-RCB,5-10,200,26,Iowa,6,3,18,1036
Forrest Lamp,76,LOG,6-4,310,26,Western Kentucky,16,16,18,1037
Jessie Lemonier,90,RDE,6-3,240,22,Ventura JC; Liberty,6,0,18,1038
Ty Long,1,P,6-2,205,27,Alabama-Birmingham,16,0,18,1039
Cole Mazza,45,LONG,6-1,224,25,Alabama,16,0,18,1040
Quenton Meeks,29,LCB,6-2,197,24,Stanford,2,0,18,1041
Jason Moore,11,WR,6-2,213,25,Findlay,2,0,18,1042
Kenneth Murray,56,SLB,6-2,243,22,Oklahoma,16,16,18,1043
Gabe Nabers,40,FB,6-3,235,23,Florida State,16,5,18,1044
Storm Norton,74,LOT-ROT,6-7,317,26,Toledo,6,3,18,1045
Uchenna Nwosu,42,RDE-LDE,6-2,251,24,Southern California,13,3,18,1046
Donald Parham,89,TE,6-8,237,23,Stetson,13,5,18,1047
Denzel Perryman,52,MLB,5-11,240,27,Miami (Florida),13,6,18,1048
Trey Pipkins,79,ROT-LOT,6-7,307,24,Sioux Falls,13,5,18,1049
Troymaine Pope,35,RB,5-8,205,27,Jacksonville State,6,0,18,1050
Scott Quessenberry,61,C-LOG-ROG,6-4,310,25,UCLA,16,0,18,1051
Joe Reed,12,WR,6-1,215,22,Virginia,11,0,18,1052
Isaac Rochell,88,RDE-LDE,6-4,280,25,Notre Dame,16,6,18,1053
Tyree St. Louis,73,ROG-ROT,6-5,315,23,Miami (Florida),5,2,18,1054
Matt Sokol,48,TE,6-5,249,25,Michigan State,2,0,18,1055
Damion Square,71,NT,6-2,293,31,Alabama,16,0,18,1056
Easton Stick,2,QB,6-2,221,25,North Dakota State,1,0,18,1057
Tyrod Taylor,5,QB,6-1,215,31,Virginia Tech,2,1,18,1058
Sam Tevi,69,LOT,6-5,315,26,Utah,14,14,18,1059
Jerry Tillery,99,DT-LDE-RDE,6-7,305,24,Notre Dame,16,10,18,1060
Cole Toner,64,ROG-LOG-C-TE,6-5,305,26,Harvard,10,3,18,1061
Drue Tranquill,49,WLB,6-2,235,25,Notre Dame,1,1,18,1062
Trai Turner,70,ROG,6-3,315,27,Louisiana State,9,9,18,1063
Nick Vigil,59,WLB-SLB-MLB,6-2,237,27,Utah State,15,2,18,1064
Jaylen Watkins,20,FS,5-11,194,28,Florida,3,1,18,1065
Kyzir White,44,WLB,6-2,218,24,Lackawanna JC; West Virginia,11,10,18,1066
Mike Williams,81,WR,6-4,220,26,Clemson,15,11,18,1067
McTelvin Agim,95,NT,6-3,300,23,Arkansas,10,0,10,1068
Calvin Anderson,76,LOT-ROT,6-5,300,24,Rice; Texas,16,2,10,1069
Jeremiah Attaochu,97,SLB,6-3,252,27,Georgia Tech,13,5,10,1070
Quinn Bailey,75,OT,6-6,323,25,Arizona State,1,0,10,1071
Essang Bassey,34,RCB,5-10,190,22,Wake Forest,12,3,10,1072
De'Vante Bausby,41,LCB-RCB,6-2,180,27,Pittsburg State,10,3,10,1073
Andrew Beck,83,TE-FB,6-3,255,24,Texas,10,0,10,1074
LeVante Bellamy,32,RB,5-9,189,24,Western Michigan,5,0,10,1075
Jacob Bobenmoyer,46,LONG,6-2,236,23,Northern Colorado,16,0,10,1076
Garett Bolles,72,LOT,6-5,297,28,Snow JC; Utah,15,15,10,1077
A.J. Bouye,21,LCB,6-0,191,29,Central Florida,7,7,10,1078
Nigel Bradham,51,LB,6-2,241,31,Florida State,1,0,10,1079
Fred Brown,19,WR,6-0,175,27,Mississippi State,1,0,10,1080
Jake Butt,80,TE,6-6,250,25,Michigan,5,1,10,1081
Austin Calitro,53,LILB,6-0,240,26,Villanova,13,0,10,1082
Bryce Callahan,29,RCB,5-9,185,29,Rice,10,10,10,1083
Jurrell Casey,99,RDE,6-1,305,31,Southern California,3,3,10,1084
Anthony Chickillo,58,SLB,6-3,255,28,Miami (Florida),11,0,10,1085
Bradley Chubb,55,WLB,6-4,275,24,North Carolina State,14,14,10,1086
Tyrie Cleveland,16,WR,6-2,205,23,Florida,10,0,10,1087
Jeremy Cox,35,FB,6-0,226,24,Old Dominion,7,1,10,1088
Lloyd Cushenberry,79,C,6-4,315,23,Louisiana State,16,16,10,1089
Duke Dawson,20,LCB-SS,5-10,198,24,Florida,13,1,10,1090
