Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
JaCoby Stevens,30.0,WLB,6-2,230,23.0,Louisiana State,2.0,1.0,26,,,1335
Jack Stoll,89.0,TE,6-4,260,23.0,Nebraska,16.0,5.0,26,,,1336
Josh Sweat,94.0,LDE,6-5,251,24.0,Florida State,16.0,13.0,26,,,1337
Davion Taylor,52.0,WLB,6-2,225,23.0,Coahoma CC; Colorado,9.0,6.0,26,,,1338
Noah Togiai,83.0,TE,6-4,246,24.0,Oregon State,1.0,0.0,26,,,1339
Brett Toth,64.0,ROT-ROG,6-6,291,25.0,Army,11.0,0.0,26,,,1340
Casey Tucker,50.0,OT,6-6,315,26.0,Stanford; Arizona State,1.0,0.0,26,,,1341
Marlon Tuipulotu,95.0,DT,6-3,305,22.0,Southern California,5.0,0.0,26,,,1342
Kary Vincent,34.0,RCB,5-10,185,22.0,Louisiana State,2.0,1.0,26,,,1343
K'Von Wallace,42.0,SS,5-11,206,24.0,Clemson,13.0,3.0,26,,,1344
Greg Ward,84.0,WR,5-11,192,26.0,Houston,17.0,0.0,26,,,1345
Quez Watkins,16.0,WR,6-2,190,23.0,Southern Mississippi,17.0,12.0,26,,,1346
Milton Williams,93.0,LDE-RDT,6-4,278,22.0,Louisiana Tech,17.0,2.0,26,,,1347
Raequan Williams,61.0,RDT,6-4,303,24.0,Michigan State,1.0,1.0,26,,,1348
Eric Wilson,50.0,MLB,6-1,227,27.0,Northwestern; Cincinnati,7.0,2.0,26,,,1349
Marvin Wilson,73.0,DT,6-5,311,23.0,Florida State,1.0,0.0,26,,,1350
Jonathan Allen,93.0,RDT,6-3,292,26.0,Alabama,17.0,17.0,33,,,1351
Kyle Allen,8.0,QB,6-3,210,25.0,Texas A&M Houston,2.0,0.0,33,,,1352
Troy Apke,30.0,RCB,6-1,200,26.0,Penn State,17.0,0.0,33,,,1353
Alex Armah,40.0,RB,6-2,255,27.0,West Georgia,2.0,0.0,33,,,1354
John Bates,87.0,TE,6-6,256,24.0,Boise State,17.0,8.0,33,,,1355
Chris Blewitt,12.0,K,5-9,190,26.0,Pittsburgh,2.0,0.0,33,,,1356
Jon Bostic,53.0,ROLB,6-1,245,30.0,Florida,4.0,4.0,33,,,1357
William Bradley-King,56.0,MLB,6-4,248,24.0,Arkansas State; Baylor,3.0,0.0,33,,,1358
Dyami Brown,2.0,WR,6-0,185,22.0,North Carolina,16.0,6.0,33,,,1359
Shaq Calhoun,68.0,OG,6-3,310,25.0,Mississippi State,1.0,0.0,33,,,1360
DeAndre Carter,1.0,WR,5-10,185,28.0,Sacramento State,17.0,6.0,33,,,1361
Saahdiq Charles,77.0,ROG-LOG-ROT,6-4,295,22.0,Louisiana State,10.0,4.0,33,,,1362
Camaron Cheeseman,54.0,LONG,6-4,230,23.0,Michigan,17.0,0.0,33,,,1363
Landon Collins,26.0,SS,6-0,220,27.0,Alabama,13.0,13.0,33,,,1364
Samuel Cosmi,76.0,ROT,6-7,309,22.0,Texas,9.0,9.0,33,,,1365
Kamren Curl,31.0,FS-SS,6-2,198,22.0,Arkansas,16.0,14.0,33,,,1366
Jamin Davis,52.0,MLB,6-4,234,23.0,Kentucky,16.0,8.0,33,,,1367
Jamil Douglas,64.0,ROG,6-4,309,29.0,Arizona State,3.0,0.0,33,,,1368
Milo Eifler,46.0,LOLB-ROLB,6-2,225,23.0,Washington; Illinois,3.0,0.0,33,,,1369
Corn Elder,37.0,LCB,5-10,185,27.0,Miami (Florida),5.0,0.0,33,,,1370
Deshazor Everett,22.0,SS-FS,6-0,195,29.0,Texas A&M,14.0,0.0,33,,,1371
Ryan Fitzpatrick,14.0,QB,6-2,223,39.0,Harvard,1.0,1.0,33,,,1372
Ereck Flowers,79.0,LOG,6-6,328,27.0,Miami (Florida),16.0,16.0,33,,,1373
Darrick Forrest,48.0,SS,6-0,200,22.0,Cincinnati,8.0,0.0,33,,,1374
Kendall Fuller,29.0,LCB,5-11,197,26.0,Virginia Tech,16.0,16.0,33,,,1375
Antonio Gandy-Golden,18.0,WR,6-4,220,23.0,Liberty,4.0,0.0,33,,,1376
