Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Johnny Townsend,8.0,P,6-1,210,26.0,Florida,3.0,0.0,31,,,671
Rashad Weaver,99.0,LOLB,6-5,270,24.0,Pittsburgh,2.0,0.0,31,,,672
Nick Westbrook-Ikhine,15.0,WR,6-3,219,24.0,Indiana,16.0,7.0,31,,,673
Jordan Wilkins,33.0,RB,6-1,216,27.0,Mississippi,1.0,0.0,31,,,674
Avery Williamson,53.0,RILB,6-1,246,29.0,Kentucky,2.0,0.0,31,,,675
Logan Woodside,5.0,QB,6-1,213,26.0,Toledo,5.0,0.0,31,,,676
Matthew Adams,49.0,SLB,6-0,230,26.0,Houston,17.0,0.0,14,,,677
Jahleel Addae,41.0,SS,5-10,195,31.0,Central Michigan,9.0,0.0,14,,,678
Mo Alie-Cox,81.0,TE,6-5,267,28.0,Virginia Commonwealth,17.0,7.0,14,,,679
Mike Badgley,6.0,K,5-10,183,26.0,Miami (Florida),12.0,0.0,14,,,680
Ben Banogu,52.0,LDE,6-4,249,25.0,Louisiana-Monroe; Texas Christian,9.0,0.0,14,,,681
Julian Blackmon,32.0,FS,6-1,204,23.0,Utah,6.0,6.0,14,,,682
Rodrigo Blankenship,3.0,K,6-1,191,24.0,Georgia,5.0,0.0,14,,,683
DeForest Buckner,99.0,DT,6-7,300,27.0,Oregon,17.0,16.0,14,,,684
Ibraheim Campbell,36.0,S,5-11,209,29.0,Northwestern,2.0,0.0,14,,,685
Parris Campbell,1.0,WR,6-1,208,24.0,Ohio State,6.0,3.0,14,,,686
T.J. Carrie,38.0,RCB-FS,6-0,205,31.0,Ohio University,11.0,1.0,14,,,687
Anthony Chesley,47.0,LCB,6-0,190,26.0,Coastal Carolina,8.0,0.0,14,,,688
Kameron Cline,92.0,DE,6-4,270,23.0,South Dakota,1.0,0.0,14,,,689
Keke Coutee,15.0,WR,5-11,187,24.0,Texas Tech,2.0,0.0,14,,,690
Julie'n Davenport,73.0,ROT-LOT,6-7,320,26.0,Bucknell,9.0,4.0,14,,,691
Khalil Davis,74.0,DT,6-1,308,25.0,Nebraska,1.0,0.0,14,,,692
Sean Davis,29.0,S,6-1,202,28.0,Maryland,1.0,0.0,14,,,693
Jack Doyle,84.0,TE,6-6,262,31.0,Western Kentucky,17.0,14.0,14,,,694
Ashton Dulin,16.0,WR,6-1,215,24.0,Malone,17.0,1.0,14,,,695
Jacob Eason,9.0,QB,6-6,227,24.0,Georgia; Washington,1.0,0.0,14,,,696
Sam Ehlinger,4.0,QB,6-3,225,23.0,Texas,3.0,0.0,14,,,697
Eric Fisher,79.0,LOT,6-7,315,30.0,Central Michigan,15.0,15.0,14,,,698
Zaire Franklin,44.0,SLB,6-0,238,25.0,Syracuse,17.0,11.0,14,,,699
Will Fries,75.0,ROG,6-6,306,23.0,Penn State,2.0,0.0,14,,,700
Jordan Glasgow,59.0,WLB,6-1,226,25.0,Michigan,12.0,0.0,14,,,701
Mark Glowinski,64.0,ROG,6-4,310,29.0,Lackawanna JC; West Virginia,16.0,14.0,14,,,702
Kylen Granson,83.0,TE,6-3,235,23.0,Rice; Southern Methodist,17.0,0.0,14,,,703
De'Michael Harris,12.0,WR,5-9,175,23.0,Hinds CC; Southern Mississippi,2.0,0.0,14,,,704
T.Y. Hilton,13.0,WR,5-9,179,32.0,Florida International,10.0,9.0,14,,,705
Nyheim Hines,21.0,RB,5-9,198,25.0,North Carolina State,17.0,4.0,14,,,706
Deon Jackson,35.0,RB,6-0,220,22.0,Duke,9.0,0.0,14,,,707
Malik Jefferson,43.0,SLB,6-2,241,25.0,Texas,1.0,0.0,14,,,708
Josh Jones,36.0,FS,6-2,220,27.0,North Carolina State,6.0,0.0,14,,,709
Ryan Kelly,78.0,C,6-4,311,28.0,Alabama,14.0,14.0,14,,,710
BoPete Keyes,33.0,RCB,6-1,200,24.0,Tulane,4.0,0.0,14,,,711
Shaquille Leonard,53.0,,6-2,234,26.0,South Carolina State,16.0,16.0,14,,,712
Tyquan Lewis,94.0,RDE,6-3,269,26.0,Ohio State,8.0,2.0,14,,,713
Jordan Lucas,29.0,S,6-0,203,28.0,Penn State,1.0,0.0,14,,,714
Marlon Mack,25.0,RB,5-11,210,25.0,South Florida,6.0,0.0,14,,,715
Kenny Moore,23.0,RCB,5-9,179,26.0,Valdosta State,17.0,17.0,14,,,716
Al-Quadin Muhammad,97.0,RDE-LDE,6-4,250,26.0,Miami (Florida),17.0,17.0,14,,,717
Kyle Nelson,48.0,LONG,6-3,240,35.0,Tulsa; New Mexico State,1.0,0.0,14,,,718
Quenton Nelson,56.0,LOG,6-5,330,25.0,Notre Dame,13.0,13.0,14,,,719
Dayo Odeyingbo,54.0,RDE,6-6,276,22.0,Vanderbilt,10.0,0.0,14,,,720
George Odum,30.0,SS-FS,6-2,185,28.0,Central Arkansas,17.0,7.0,14,,,721
Bobby Okereke,58.0,MLB,6-3,234,25.0,Stanford,17.0,17.0,14,,,722
Zach Pascal,14.0,WR,6-2,219,27.0,Old Dominion,16.0,13.0,14,,,723
Dezmon Patmon,10.0,WR,6-4,228,23.0,Washington State,8.0,0.0,14,,,724
Kwity Paye,51.0,LDE,6-4,272,23.0,Michigan,15.0,15.0,14,,,725
Danny Pinter,63.0,C,6-4,300,25.0,Ball State,16.0,4.0,14,,,726
Michael Pittman,11.0,WR,6-4,220,24.0,Southern California,17.0,17.0,14,,,727
Matt Pryor,69.0,ROT-LOT,6-7,332,27.0,Texas Christian,16.0,4.0,14,,,728
Will Redmond,29.0,CB,5-11,186,28.0,Mississippi State,3.0,0.0,14,,,729
Chris Reed,62.0,LOG,6-5,310,29.0,Minnesota State-Mankato,14.0,6.0,14,,,730
Luke Rhodes,46.0,LONG,6-2,239,29.0,William & Mary,16.0,0.0,14,,,731
Xavier Rhodes,27.0,LCB-RCB,6-1,217,31.0,Florida State,14.0,14.0,14,,,732
Isaac Rochell,91.0,RDE,6-4,280,26.0,Notre Dame,12.0,0.0,14,,,733
Isaiah Rodgers,34.0,LCB,5-10,170,23.0,Massachusetts,16.0,1.0,14,,,734
Rigoberto Sanchez,8.0,P,6-0,195,27.0,Butte CC; Hawaii,17.0,0.0,14,,,735
Andrew Sendejo,42.0,FS-SS,6-1,216,34.0,Rice,13.0,11.0,14,,,736
Braden Smith,72.0,ROT,6-6,315,25.0,Auburn,11.0,11.0,14,,,737
E.J. Speed,45.0,WLB,6-4,230,26.0,Tarleton State,17.0,1.0,14,,,738
Taylor Stallworth,95.0,DT-NT,6-2,305,26.0,South Carolina,16.0,1.0,14,,,739
Grover Stewart,90.0,NT,6-4,333,28.0,Albany State,17.0,17.0,14,,,740
Mike Strachan,17.0,WR,6-5,225,24.0,Charleston,6.0,0.0,14,,,741
Jonathan Taylor,28.0,RB,5-11,219,22.0,Wisconsin,17.0,17.0,14,,,742
Kemoko Turay,57.0,LDE,6-5,252,26.0,Rutgers,13.0,0.0,14,,,743
Carson Wentz,2.0,QB,6-5,237,29.0,North Dakota State,17.0,17.0,14,,,744
Jordan Wilkins,20.0,RB,6-1,216,27.0,Mississippi,4.0,0.0,14,,,745
Chris Williams,66.0,DT,6-2,302,23.0,Wagner,8.0,0.0,14,,,746
Khari Willis,37.0,SS,6-0,215,25.0,Michigan State,11.0,10.0,14,,,747
Antwaun Woods,96.0,DT,6-1,315,28.0,Southern California,7.0,0.0,14,,,748
Rock Ya-Sin,26.0,LCB,6-2,190,25.0,Presbyterian; Temple,14.0,8.0,14,,,749
Jordan Akins,88.0,TE,6-4,243,29.0,Central Florida,13.0,3.0,13,,,750
Danny Amendola,89.0,WR,5-11,188,36.0,Texas Tech,8.0,0.0,13,,,751
Grayland Arnold,35.0,FS,5-10,190,24.0,Baylor,4.0,0.0,13,,,752
Antony Auclair,83.0,TE,6-6,255,28.0,Laval,16.0,13.0,13,,,753
Ross Blacklock,90.0,LDT-RDT,6-4,305,23.0,Texas Christian,14.0,2.0,13,,,754
Justin Britt,68.0,C,6-6,320,30.0,Missouri,11.0,11.0,13,,,755
Terrence Brooks,8.0,FS-SS,5-11,200,30.0,Florida State,11.0,3.0,13,,,756
Pharaoh Brown,85.0,TE,6-5,246,27.0,Oregon,15.0,12.0,13,,,757
Rex Burkhead,28.0,RB,5-10,215,31.0,Nebraska,17.0,5.0,13,,,758
Jalen Camp,17.0,WR,6-2,220,23.0,Georgia Tech,3.0,1.0,13,,,759
Marcus Cannon,61.0,ROT,6-5,335,33.0,Texas Christian,4.0,4.0,13,,,760
Ron'Dell Carter,75.0,LDE,6-3,269,24.0,Rutgers; James Madison,1.0,0.0,13,,,761
Geron Christian,72.0,LOT,6-5,302,25.0,Louisville,14.0,8.0,13,,,762
Maliek Collins,97.0,RDT-LDT,6-2,307,26.0,Nebraska,15.0,15.0,13,,,763
Nico Collins,12.0,WR,6-4,222,22.0,Michigan,14.0,8.0,13,,,764
Chris Conley,18.0,WR,6-3,205,29.0,Georgia,16.0,10.0,13,,,765
Brandin Cooks,13.0,WR,5-10,1898,28.0,Oregon State,15.0,15.0,13,,,766
Zach Cunningham,41.0,WLB-SLB,6-3,234,27.0,Vanderbilt,10.0,7.0,13,,,767
Davion Davis,81.0,WR,5-11,195,25.0,Sam Houston State,2.0,1.0,13,,,768
Phillip Dorsett,2.0,WR,5-10,187,28.0,Miami (Florida),2.0,0.0,13,,,769
Jeff Driskel,6.0,QB,6-4,233,28.0,Florida; Louisiana Tech,1.0,0.0,13,,,770
Michael Dwumfour,98.0,RDT,6-1,296,23.0,Michigan; Rutgers,3.0,1.0,13,,,771
Dominik Eberle,16.0,K,6-2,190,24.0,Utah State,1.0,0.0,13,,,772
Ka'imi Fairbairn,7.0,K,6-0,186,27.0,UCLA,13.0,0.0,13,,,773
Royce Freeman,26.0,RB,6-0,238,25.0,Oregon,7.0,0.0,13,,,774
T.J. Green,14.0,FS,6-3,208,26.0,Clemson,1.0,0.0,13,,,775
Jonathan Greenard,52.0,RDE,6-3,263,24.0,Louisville; Florida,12.0,12.0,13,,,776
Kamu Grugier-Hill,51.0,WLB-SLB,6-2,223,27.0,Eastern Illinois,14.0,14.0,13,,,777
Vernon Hargreaves,26.0,LCB,5-10,204,26.0,Florida,8.0,5.0,13,,,778
Demone Harris,94.0,RDE,6-4,272,26.0,Buffalo,1.0,1.0,13,,,779
Charlie Heck,67.0,ROT,6-8,315,25.0,North Carolina,15.0,13.0,13,,,780
Neville Hewitt,43.0,MLB-SLB-WLBLB,6-2,234,28.0,Georgia Military JC; Marshall,17.0,5.0,13,,,781
Tytus Howard,71.0,LOG-LOT,6-6,311,25.0,Alabama State,15.0,15.0,13,,,782
Mark Ingram,2.0,RB,5-9,215,32.0,Alabama,7.0,7.0,13,,,783
Jordan Jenkins,50.0,RDE,6-3,259,27.0,Georgia,11.0,0.0,13,,,784
David Johnson,31.0,RB,6-1,224,30.0,Northern Iowa,13.0,4.0,13,,,785
Jaleel Johnson,93.0,RDT,6-3,316,27.0,Iowa,12.0,0.0,13,,,786
Lonnie Johnson,1.0,FS-RCB-LCB-SS,6-3,206,24.0,Garden City CC; Kentucky,14.0,7.0,13,,,787
Cameron Johnston,11.0,P,5-11,194,29.0,Ohio State,17.0,0.0,13,,,788
Brevin Jordan,9.0,TE,6-3,245,21.0,Miami (Florida),9.0,2.0,13,,,789
Desmond King,25.0,LCB,5-10,200,27.0,Iowa,16.0,12.0,13,,,790
Christian Kirksey,58.0,MLB,6-2,235,29.0,Iowa,13.0,12.0,13,,,791
Phillip Lindsay,30.0,RB,5-8,190,27.0,Colorado,10.0,1.0,13,,,792
Roy Lopez,91.0,LDT-RDT,6-2,318,24.0,New Mexico State; Arizona,16.0,15.0,13,,,793
Jake Martin,54.0,LDE-RED,6-3,242,26.0,Temple,17.0,14.0,13,,,794
Justin McCray,64.0,ROG-C,6-3,317,29.0,Central Florida,14.0,8.0,13,,,795
Whitney Mercilus,59.0,LDE-RDE,6-4,258,31.0,Illinois,6.0,2.0,13,,,796
Anthony Miller,3.0,WR,5-11,190,27.0,Memphis,2.0,1.0,13,,,797
Davis Mills,10.0,QB,6-4,225,23.0,Stanford,13.0,11.0,13,,,798
Terrance Mitchell,39.0,RCB,5-11,190,29.0,Oregon,14.0,13.0,13,,,799
A.J. Moore,33.0,SS-FS,5-11,200,26.0,Mississippi,12.0,0.0,13,,,800
Chris Moore,15.0,WR,6-1,201,28.0,Cincinnati,14.0,1.0,13,,,801
Jimmy Moreland,21.0,RCB,5-11,175,26.0,James Madison,7.0,0.0,13,,,802
Jimmy Morrissey,79.0,C,6-3,305,23.0,Pittsburgh,5.0,4.0,13,,,803
Eric Murray,23.0,FS-SS,5-11,199,27.0,Minnesota,16.0,11.0,13,,,804
Hardy Nickerson,56.0,MLB,6-0,232,27.0,California; Illinois,2.0,0.0,13,,,805
Charles Omenihu,94.0,RDE,6-6,275,24.0,Texas,6.0,2.0,13,,,806
Jonathan Owens,36.0,FS-SS,5-11,210,26.0,Missouri Western State,7.0,2.0,13,,,807
Scottie Phillips,27.0,RB,5-8,211,24.0,Jones County JC; Mississippi,3.0,0.0,13,,,808
Kevin Pierre-Louis,57.0,SLB-WLB,6-0,233,30.0,Boston College,9.0,1.0,13,,,809
Paul Quessenberry,45.0,FB,6-2,251,29.0,Navy,1.0,0.0,13,,,810
Justin Reid,20.0,SS-FS,6-1,203,24.0,Stanford,13.0,13.0,13,,,811
Derek Rivers,95.0,RDE-LDE,6-5,250,27.0,Youngstown State,5.0,1.0,13,,,812
Andre Roberts,19.0,WR,5-11,194,33.0,The Citadel,6.0,0.0,13,,,813
Jaylen Samuels,38.0,RB,6-0,225,25.0,North Carolina State,3.0,0.0,13,,,814
Max Scharping,74.0,ROG-LOG,6-6,320,25.0,Northern Illinois,17.0,11.0,13,,,815
Joey Slye,16.0,K,5-11,213,25.0,Virginia Tech,3.0,0.0,13,,,816
Chris Smith,92.0,RDE,6-1,266,29.0,Arkansas,4.0,0.0,13,,,817
Tremon Smith,24.0,RCB-CCB,6-0,190,25.0,Central Arkansas,17.0,2.0,13,,,818
Jordan Steckler,70.0,ROT,6-5,305,25.0,Northern Illinois,2.0,0.0,13,,,819
Connor Strachan,53.0,LB,6-0,230,26.0,Boston College,3.0,0.0,13,,,820
Lane Taylor,65.0,LOG,6-3,324,32.0,Oklahoma State,7.0,5.0,13,,,821
Tyrod Taylor,5.0,QB,6-1,215,32.0,Virginia Tech,6.0,6.0,13,,,822
Vincent Taylor,96.0,LDT,6-3,306,27.0,Oklahoma State,1.0,1.0,13,,,823
Joe Thomas,48.0,SLB-WLB-MLB,6-1,228,30.0,South Carolina State,5.0,2.0,13,,,824
Tavierre Thomas,37.0,RCB-LCB,5-10,205,25.0,Ferris State,17.0,8.0,13,,,825
Cole Toner,66.0,LOG,6-5,305,27.0,Harvard,1.0,1.0,13,,,826
Laremy Tunsil,78.0,LOT,6-5,317,27.0,Mississippi,5.0,5.0,13,,,827
Jordan Veasy,84.0,WR,6-3,221,26.0,Faulkner; Itawamba CC; Golden West JC; California,2.0,0.0,13,,,828
DeMarcus Walker,55.0,RDE-LDE-RDT,6-4,280,27.0,Florida State,13.0,2.0,13,,,829
Garret Wallow,32.0,SLB,6-2,230,22.0,Texas Christian,17.0,2.0,13,,,830
Josh Watson,40.0,SLB,6-2,240,25.0,Colorado State,2.0,0.0,13,,,831
Jon Weeks,46.0,LONG,5-10,248,35.0,Baylor,17.0,0.0,13,,,832
Xavier Williams,69.0,RDT,6-3,309,29.0,Northern Iowa,1.0,0.0,13,,,833
Eric Wilson,59.0,MLB,6-1,227,27.0,Northwestern; Cincinnati,7.0,0.0,13,,,834
Tyrell Adams,59.0,LB,6-2,230,29.0,West Georgia,2.0,0.0,15,,,835
Jamal Agnew,39.0,WR,5-10,190,26.0,San Diego,10.0,2.0,15,,,836
Dakota Allen,53.0,WLB,6-1,235,26.0,Texas Tech; East Mississippi CC; Texas Tech,14.0,1.0,15,,,837
Josh Allen,41.0,LOLB,6-5,260,24.0,Kentucky,16.0,15.0,15,,,838
Ryquell Armstead,23.0,RB,5-11,215,25.0,Temple,2.0,0.0,15,,,839
Dan Arnold,85.0,TE,6-6,220,26.0,Wisconsin-Platteville,8.0,3.0,15,,,840
Tavon Austin,7.0,WR,5-8,177,30.0,West Virginia,13.0,3.0,15,,,841
Ben Bartch,78.0,ROG,6-6,305,23.0,St. John's (Minnesota),15.0,11.0,15,,,842
C.J. Beathard,3.0,QB,6-2,215,28.0,Iowa,2.0,0.0,15,,,843
John Brown,13.0,WR,5-11,179,31.0,Mars Hill; Coffeyville CC; Pittsburg State,2.0,0.0,15,,,844
Malcom Brown,90.0,DT,6-2,320,27.0,Texas,17.0,17.0,15,,,845
Taven Bryan,93.0,DE,6-5,291,25.0,Florida,16.0,0.0,15,,,846
Tyson Campbell,32.0,LCB,6-2,185,21.0,Georgia,15.0,14.0,15,,,847
A.J. Cann,60.0,ROG,6-3,315,30.0,South Carolina,4.0,4.0,15,,,848
K'Lavon Chaisson,45.0,ROLB,6-4,250,22.0,Louisiana State,15.0,8.0,15,,,849
D.J. Chark,17.0,WR,6-4,198,25.0,Louisiana State,4.0,4.0,15,,,850
Joseph Charlton,19.0,P,6-5,190,24.0,South Carolina,1.0,0.0,15,,,851
Andre Cisco,38.0,FS-SS,6-0,209,21.0,Syracuse,17.0,3.0,15,,,852
Chris Claybrooks,27.0,RCB-LCB,6-0,170,23.0,Fort Scott CC; Coahoma CC; Memphis,17.0,2.0,15,,,853
Logan Cooke,9.0,P,6-5,230,26.0,Mississippi State,15.0,0.0,15,,,854
Doug Costin,58.0,DT,6-2,295,24.0,Miami (Ohio),1.0,0.0,15,,,855
Jeff Cotton,88.0,WR,6-2,204,24.0,Pima CC; Idaho,1.0,0.0,15,,,856
Nathan Cottrell,31.0,RB,5-11,193,25.0,Georgia Tech,4.0,0.0,15,,,857
Phillip Dorsett,13.0,WR,5-10,187,28.0,Miami (Florida),1.0,0.0,15,,,858
Luke Farrell,89.0,TE,6-6,258,24.0,Ohio State,17.0,4.0,15,,,859
Rudy Ford,5.0,SS,6-0,204,27.0,Auburn,15.0,4.0,15,,,860
Adam Gotsis,96.0,DE,6-4,287,29.0,Georgia Tech,17.0,4.0,15,,,861
Shaquill Griffin,26.0,RCB,6-0,198,26.0,Central Florida,14.0,14.0,15,,,862
DaVon Hamilton,52.0,NT,6-4,310,24.0,Ohio State,17.0,8.0,15,,,863
Josh Hammond,81.0,WR,6-0,194,23.0,Florida,2.0,0.0,15,,,864
C.J. Henderson,23.0,LCB,6-1,202,23.0,Florida,2.0,2.0,15,,,865
Tre Herndon,37.0,LCB,5-11,185,25.0,Vanderbilt,9.0,3.0,15,,,866
Jacob Hollister,86.0,TE,6-4,242,28.0,Arizona; Arizona Western JC; Wyoming,7.0,2.0,15,,,867
Carlos Hyde,24.0,RB,6-0,235,31.0,Ohio State,13.0,2.0,15,,,868
Myles Jack,44.0,WLB,6-1,245,26.0,UCLA,15.0,15.0,15,,,869
Michael Jacquet,34.0,CB,6-2,201,24.0,Louisiana-Lafayette,1.0,0.0,15,,,870
Rayshawn Jenkins,2.0,FS,6-2,220,27.0,Miami (Florida),14.0,14.0,15,,,871
Tyron Johnson,12.0,WR,6-1,193,25.0,Louisiana State; Oklahoma State,5.0,0.0,15,,,872
Jamir Jones,40.0,ROLB,6-3,255,23.0,Notre Dame,2.0,0.0,15,,,873
Marvin Jones,11.0,WR,6-2,197,31.0,California,17.0,16.0,15,,,874
Josh Lambo,4.0,K,6-0,215,31.0,Collin County JC; Texas A&M,3.0,0.0,15,,,875
Trevor Lawrence,16.0,QB,6-6,213,22.0,Clemson,17.0,17.0,15,,,876
Nevin Lawson,21.0,RCB,5-9,192,30.0,Utah State,12.0,4.0,15,,,877
Brandon Linder,65.0,C,6-6,318,29.0,Miami (Florida),9.0,9.0,15,,,878
Walker Little,72.0,LOT-ROT,6-7,320,22.0,Stanford,9.0,3.0,15,,,879
Chris Manhertz,84.0,TE,6-6,255,29.0,Canisius,17.0,10.0,15,,,880
Ross Matiscik,46.0,LONG,6-0,235,25.0,Baylor,17.0,0.0,15,,,881
Lerentee McCray,55.0,ROLB,6-3,249,31.0,Florida,12.0,0.0,15,,,882
Kc McDermott,62.0,ROG-C,6-5,311,25.0,Miami (Florida),9.0,1.0,15,,,883
Bradley McDougald,22.0,FS,6-1,211,31.0,Kansas,1.0,0.0,15,,,884
Jaydon Mickens,4.0,WR,5-11,174,27.0,Washington,6.0,0.0,15,,,885
Andrew Norwell,68.0,LOG,6-6,325,30.0,Ohio State,17.0,17.0,15,,,886
Dare Ogunbowale,33.0,RB,5-11,205,27.0,Wisconsin,17.0,2.0,15,,,887
James O'Shaughnessy,80.0,TE,6-4,245,29.0,Illinois State,7.0,6.0,15,,,888
Devine Ozigbo,22.0,RB,6-2,225,25.0,Nebraska,1.0,0.0,15,,,889
Shaquille Quarterman,50.0,MLB,6-1,241,24.0,Miami (Florida),17.0,0.0,15,,,890
Will Richardson,76.0,ROG-LOG-ROT-TE,6-6,306,25.0,North Carolina State,14.0,2.0,15,,,891
Roy Robertson-Harris,95.0,DE,6-7,294,28.0,Texas-El Paso,14.0,14.0,15,,,892
Cam Robinson,74.0,LOT,6-6,320,26.0,Alabama,15.0,15.0,15,,,893
James Robinson,25.0,RB,5-10,220,23.0,Illinois State,14.0,13.0,15,,,894
Brandon Rusnak,40.0,SS,5-11,204,26.0,Michigan,4.0,0.0,15,,,895
Chapelle Russell,48.0,WLB,6-1,230,24.0,Temple,16.0,1.0,15,,,896
Mekhi Sargent,36.0,RB,5-10,210,24.0,Iowa Western CC; Iowa,1.0,0.0,15,,,897
J.K. Scott,13.0,P,6-6,208,25.0,Alabama,1.0,0.0,15,,,898
Tyler Shatley,69.0,C,6-3,308,30.0,Clemson,17.0,8.0,15,,,899
Laviska Shenault,10.0,WR,6-2,220,23.0,Colorado,16.0,10.0,15,,,900
Devin Smith,19.0,WR,6-0,196,29.0,Ohio State,1.0,0.0,15,,,901
Jordan Smith,92.0,ROLB,6-7,255,23.0,Florida; Butler CC; Alabama-Birmingham,2.0,0.0,15,,,902
Dawuane Smoot,91.0,NT-DE-DT,6-3,264,26.0,Illinois,16.0,10.0,15,,,903
Jawaan Taylor,75.0,ROT,6-5,328,24.0,Florida,17.0,17.0,15,,,904
Daniel Thomas,20.0,SS-FS,5-11,209,23.0,Auburn,16.0,2.0,15,,,905
Badara Traore,73.0,OT,6-7,320,24.0,ASA JC; Louisiana State,1.0,0.0,15,,,906
Laquon Treadwell,18.0,WR,6-2,215,26.0,Mississippi,11.0,7.0,15,,,907
Jay Tufele,97.0,NT,6-3,305,22.0,Southern California,4.0,0.0,15,,,908
Tre'Vour Wallace-Simms,77.0,OG,6-5,330,24.0,Missouri,1.0,0.0,15,,,909
Jihad Ward,6.0,LOLB,6-5,294,27.0,Globe Tech JC; Illinois,17.0,1.0,15,,,910
Kahale Warring,47.0,TE,6-6,250,24.0,San Diego State,1.0,0.0,15,,,911
Damien Wilson,54.0,MLB,6-1,244,28.0,Alcorn State; Jones County JC; Minnesota,17.0,17.0,15,,,912
Andrew Wingard,42.0,SS,6-0,209,25.0,Wyoming,15.0,15.0,15,,,913
Matthew Wright,15.0,K,6-0,179,25.0,Central Florida,14.0,0.0,15,,,914
Nick Allegretti,73.0,LOG,6-4,320,25.0,Illinois,17.0,0.0,16,,,915
Zayne Anderson,39.0,FS,6-2,210,24.0,Brigham Young,4.0,0.0,16,,,916
Deandre Baker,30.0,LCB-RCB,5-11,185,24.0,Georgia,8.0,1.0,16,,,917
Blake Bell,81.0,TE,6-6,252,30.0,Oklahoma,16.0,5.0,16,,,918
Austin Blythe,66.0,C,6-3,299,29.0,Iowa,4.0,0.0,16,,,919
Nick Bolton,54.0,WLB,6-0,232,21.0,Missouri,16.0,12.0,16,,,920
Dicaprio Bootle,2.0,RCB,5-10,195,24.0,Nebraska,2.0,0.0,16,,,921
Cortez Broughton,79.0,DT,6-2,290,25.0,Cincinnati,1.0,0.0,16,,,922
Orlando Brown,57.0,LOT,6-8,345,25.0,Oklahoma,16.0,16.0,16,,,923
Michael Burton,45.0,RB,6-0,243,29.0,Rutgers,16.0,0.0,16,,,924
Harrison Butker,7.0,K,6-4,205,26.0,Georgia Tech,16.0,0.0,16,,,925
Frank Clark,55.0,RDE,6-3,264,28.0,Michigan,14.0,14.0,16,,,926
Mike Danna,51.0,RDE-LDE,6-2,261,24.0,Central Michigan; Michigan,17.0,6.0,16,,,927
Clyde Edwards-Helaire,25.0,RB,5-8,209,22.0,Louisiana State,10.0,10.0,16,,,928
Rashad Fenton,27.0,LCB-RCB,5-11,188,24.0,South Carolina,14.0,7.0,16,,,929
Jody Fortson,88.0,WR,6-6,230,26.0,Erie CC; Valdosta State,6.0,0.0,16,,,930
Daurice Fountain,82.0,WR,6-1,210,26.0,Northern Iowa,2.0,0.0,16,,,931
Elliott Fry,9.0,K,6-0,170,27.0,South Carolina,1.0,0.0,16,,,932
Willie Gay,50.0,SLB-MLB,6-2,240,23.0,Mississippi State,12.0,11.0,16,,,933
Josh Gordon,19.0,WR,6-3,225,30.0,Baylor; Utah,12.0,7.0,16,,,934
Derrick Gore,40.0,RB,5-10,212,27.0,Coffeyville CC; Alabama; Louisiana-Monroe,11.0,0.0,16,,,935
Noah Gray,83.0,TE,6-4,240,22.0,Duke,17.0,1.0,16,,,936
Nakia Griffin-Stewart,48.0,TE,6-5,260,25.0,Rutgers; Pittsburgh,1.0,0.0,16,,,937
Mecole Hardman,17.0,WR,5-11,183,23.0,Georgia,17.0,8.0,16,,,938
Darius Harris,47.0,MLB,6-2,238,25.0,Middle Tennessee State,7.0,0.0,16,,,939
Demone Harris,96.0,DE,6-4,272,26.0,Buffalo,1.0,0.0,16,,,940
Chad Henne,4.0,QB,6-3,228,36.0,Michigan,4.0,0.0,16,,,941
Tyreek Hill,10.0,WR,5-10,185,27.0,Garden City CC; Oklahoma State; West Alabama,17.0,16.0,16,,,942
Anthony Hitchens,53.0,MLB,6-0,235,29.0,Iowa,15.0,15.0,16,,,943
Mike Hughes,21.0,NB,5-10,189,24.0,North Carolina; Garden City CC; Central Florida,17.0,4.0,16,,,944
Creed Humphrey,52.0,C,6-5,320,22.0,Oklahoma,17.0,17.0,16,,,945
Melvin Ingram,24.0,LDE-WLB-SLB,6-2,247,32.0,South Carolina,9.0,6.0,16,,,946
Josh Jackson,20.0,CB,6-0,196,25.0,Iowa,2.0,0.0,16,,,947
Chris Jones,95.0,LDE-LDT-RDT,6-5,309,27.0,Mississippi State,14.0,14.0,16,,,948
Josh Kaindoh,53.0,LDE,6-6,260,23.0,Florida State,3.0,0.0,16,,,949
Travis Kelce,87.0,TE,6-5,260,32.0,Cincinnati,16.0,16.0,16,,,950
Marcus Kemp,85.0,WR,6-4,205,26.0,Hawaii,16.0,0.0,16,,,951
Chris Lammons,26.0,LCB,5-10,190,25.0,South Carolina,12.0,0.0,16,,,952
Patrick Mahomes,15.0,QB,6-3,230,26.0,Texas Tech,17.0,17.0,16,,,953
Tyrann Mathieu,32.0,SS,5-9,187,29.0,Louisiana State,16.0,16.0,16,,,954
Jerick McKinnon,1.0,RB,5-9,205,29.0,Georgia Southern,13.0,0.0,16,,,955
Lucas Niang,67.0,ROT-LOT,6-7,328,23.0,Texas Christian,12.0,8.0,16,,,956
Ben Niemann,56.0,SLB,6-2,235,26.0,Iowa,17.0,5.0,16,,,957
Derrick Nnadi,91.0,RDT-LDE,6-1,312,25.0,Florida State,17.0,10.0,16,,,958
Dorian O'Daniel,44.0,WLB,6-1,220,27.0,Clemson,17.0,0.0,16,,,959
Alex Okafor,93.0,LDE,6-4,261,30.0,Texas,17.0,0.0,16,,,960
